	Autore	Titolo	Genere	Numero di prestiti	Data prestito
2008	Spreafico Alberto	Ideologia e comportamento politico			25/02/2008
2008	Rigutti Mario	Cento miliardi di stelle			10/03/2008
2008	Schopenhauer Arthur	Sulla quadruplice radice del principio di ragione sufficiente			10/03/2008
2008	Schopenhauer Arthur	La vista e i colori e carteggio con Goethe			10/03/2008
2008	Vari	Sallustiana			12/03/2008
2008	La Penna Antonio	Sallustio e la rivoluzione romana			12/03/2008
2008	Syme Ronald	Sallustio			12/03/2008
2008	Cicerone Marco Tullio	De oratore			12/03/2008
2008	Rostagni Augusto	Storia della letteratura latina vol.1			12/03/2008
2008	Rostagni Augusto	Storia della letteratura latina vol.2			12/03/2008
2008	Queneau Raymond	I fiori blu			26/03/2008
2008	Auster Paul	Trilogia di New York			26/03/2008
2008	Auster Paul	Trilogia di New York			26/03/2008
2008	Vassalli Sebastiano	La chimera			26/03/2008
2008	Divakaruni Chitra B.	Sorella del mio cuore			26/03/2008
2008	Petronius Arbiter	Satyricon			21/05/2008
2008	Petronius Arbiter	Satyricon			21/05/2008
2008	Eschilo	Le tragedie			31/05/2008
2008	Divakaruni Chitra B.	Sorella del mio cuore			30/09/2008
2008	Dazieri Sandrone	La cura del gorilla			30/09/2008
2008	Divakaruni Chitra B.	Anand e la conchiglia magica			30/09/2008
2008	De Carlo Andrea	Due di due			30/09/2008
2008	Calvino Italo	Se una notte di inverno un viaggiatore			30/09/2008
2008	Calvino Italo	Il cavaliere inesistente			30/09/2008
2008	Lewis Roy	Il più grande uomo scimmia del Pleistocene			30/09/2008
2008	Tomati Mimmo	Che cos'è l'economia			15/10/2008
2008	De Sanctis Francesco	Storia della letteratura italiana vol.1			25/10/2008
2008	De Sanctis Francesco	Storia della letteratura italiana vol.2			25/10/2008
2008	De Sanctis Francesco	Giacomo Leopardi			25/10/2008
2008	De Sanctis Francesco	La scuola liberale e la scuola democratica			25/10/2008
2008	Pirandello Luigi	Il fu Mattia Pascal			07/11/2008
2008	Pirandello Luigi	Il fu Mattia Pascal			07/11/2008
2008	Calvino Italo	La speculazione edilizia			07/11/2008
2008	Sciascia Leonardo	Il giorno della civetta			25/11/2008
2008	Celati Gianni	Quattro novelle sulle apparenze			25/11/2008
2008	Rigoni Stern Mario	Arboreto selvatico			25/11/2008
2008	Calvino Italo	Il visconte dimezzato			25/11/2008
2008	Rigoni Stern Mario	L'anno della vittoria			25/11/2008
2008	Rigoni Stern Mario	Stagioni			25/11/2008
2008	Benigno Roberto, Cerami Vincenzo	La vita è bella 			25/11/2008
2008	Crichton Michael	Sfera			25/11/2008
2008	Simenon Georges	Il porto delle nebbie			25/11/2008
2008	Flaubert Gustave	Romanzi			25/11/2008
2008	Sciascia Leonardo	Il giorno della civetta			25/11/2008
2008	Stendhal 	Il rosso e il nero			25/11/2008
2008	Bassani Giorgio	Il giardino dei Finzi Contini			25/11/2008
2008	Calvino Italo	Fiabe italiane			25/11/2008
2008	Benigni Roberto, Cerami Vincenzo	La tigre e la neve			25/11/2008
2008	Bassani Giorgio	Cinque storie ferraresi			25/11/2008
2008	Calvino Italo	Il castello dei destini incrociati			25/11/2008
2008	Buzzati Dino 	Bàrnabo delle montagne			25/11/2008
2008	Skolnik Merrill I.	Introduzione ai sistemi radar			13/12/2008
2008	Buzzati Dino 	Il deserto dei Tartari			17/12/2008
2008	Poe Edgar Allan	Opere scelte			23/12/2008
2008	Verga Giovanni	Tutte le novelle			23/12/2008
2008	Spiegel Murray R.	Analisi vettoriale			23/12/2008
2008	Baldassari Ghezzo Santuzza, Margaglio Claudio, Millevoi Tommaso	Introduzione ai metodi della geometria algebrica			23/12/2008
2008	Pagels Heinz R.	Universo simmetrico : la ricerca dell'inizio del tempo			23/12/2008
2009	Calvino Italo	Marcovaldo			20/01/2009
2009	Simenon Georges	Il porto delle nebbie			20/01/2009
2009	Calvino Italo	Se una notte d'inverno un viaggiatore			20/01/2009
2009	D'Annunzio Gabriele	Alcyone			04/02/2009
2009	Hesse Hermann	Narciso e Boccadoro			05/02/2009
2009	Toraldo di Francia Giuliano	L'indagine del mondo fisico			06/02/2009
2009	Givone Sergio	Storia del nulla			11/02/2009
2009	Ferraris Maurizio	Guida a Nietzsche			11/02/2009
2009	Lonzi Carla	Rousseau			11/02/2009
2009	Huttinger Eduard	Eduard Munch			11/02/2009
2009	Calvino Italo	Il sentiero dei nidi di ragno			12/02/2009
2009	Pugliese Carratelli Giovanni	I Greci in Occidente			27/02/2009
2009	Apuleio	Della magia			04/03/2009
2009	Apuleio	L'asino d'oro			04/03/2009
2009	Apuleio	L'asino d'oro			04/03/2009
2009	Goethe Johann W.	Ballate			04/03/2009
2009	Baudelaire Charles	I fiori del male			04/03/2009
2009	Pirandello Luigi	Il fu Mattia Pascal			04/03/2009
